Ovgp1,Foxa1,Pomc,Adcy10,Hpd,Fabp5,Itih3,Nop53,Upp2,Etnppl,Lgi2,Plp1,Cyp2d22,Aldoc,Hbb-bt,BC051142,Sult1a1,Hba-a1,Fbxo21,ENSMUSG00000117814,Gm12481,Sult1a1,Trappc6b,Sox2ot,Rrp9,Zfas1,Rrp9,Arrdc2,Agt,Gm14827,Ces2e,Peg3,Ces2e,Ovgp1,Plekha1,Mfge8,Etnppl,Ovgp1,Tmem183a,Oxct1,Scn10a,Gkn3,Fuz,Napb,Morn3,Eef1akmt1,Cnnm3,Ccdc28b,Hbb-bs,Sidt2,,Col1a2,Map1lc3b,Col1a2,Cmtm3,Ano3,Oxt,Idh1,Slc36a2,Idh1,Hbb-bt,Fbln5,Olfml3
Galp,,Lztr1,Cd59b,3930402G23Rik,Hebp2,Trp53inp2,Lyg1,Serpinb1a,Aqp4,Tob2,Clic4,Slc2a4,Sult1a1,Kcna6,Ovgp1,Prodh,Alas2,Coro7,Mthfr,Fcer1g,Deaf1,Tspyl2,Hba-a1,6030419C18Rik,2810403A07Rik,6030419C18Rik,Agt,Srebf1,Dgkk,Serpina12,Cdkn1c,Serpina12,Peg3,Wrn,Pltp,2810403A07Rik,Sparc,Cd34,Kcna6,4930570G19Rik,Cxcl12,Morn3,Serpini1,Cspg4,Ccdc28b,Sparc,Acyp2,Hbb-bt,Arhgef10,,Gm9522,Ube4a,C1qtnf6,Epha7,Abca1,Agbl5,Klk1b22,Serpina1f,Klk1b22,Arl4d,Prkcg,Scd1
Pnlip,,Glp1r,Anxa2,Mfsd2a,Ccser2,Prodh,Etnppl,Oxct1,Col2a1,Agt,Cacna1e,Aldoc,Patj,Rlbp1,Kcne1l,Heph,Evpl,Gm42970,Atp1a1,Gm37694,Hpgds,Spsb3,Zmym1,Dlk2,2900052N01Rik,Dlk2,Olfml3,Cyp2d22,Cideb,Alas2,Gadd45b,Alas2,Serpina3n,BC051142,Nt5c3b,Gkn3,2900052N01Rik,Hbb-bt,Etnppl,Prkg1,Tuba4a,Cspg4,Heph,Emc10,Ncam1,Etnppl,Tma7,Acadsb,,,Il6st,Arid5a,Nrep,Glra3,Bmpr2,Polr1a,Ephx1,Cd52,Ephx1,Kcnt1,Eln,Padi2
Pomc,,,Gnmt,Bcat2,Deptor,Itm2a,Itgad,Pkp4,Serpinb1a,Fam213a,Hbb-bt,Lrp4,Gm16845,Aqp4,Rprml,Eif4b,Calm3,Gm12481,Smurf1,S100b,Cdkn1a,Cyp4f15,Mki67,Cideb,Ccdc82,Cideb,Srebf1,Sparc,Hbb-bt,1810008I18Rik,Agt,1810008I18Rik,2810403A07Rik,Smc5,Cxcl12,Slc7a10,Per1,Abhd1,Gkn3,Wnt10b,Ldha,Emc10,Purb,Agbl5,Rnf24,Jade2,Bola3,Actn1,,,C1qtnf6,Pnrc1,Pyurf,Hmgcs2,F3,Ncan,Hsd17b3,Gpx3,Hsd17b3,Vcam1,Cyp2d22,Asrgl1
Svs2,,,Ccdc3,Dhrs11,Echdc1,Cxcl12,Il12rb1,Gbp3,Amigo2,Ybx2,Bcas1,Cideb,Sgk1,Fabp7,Sult1a1,Ccdc82,Pepd,Fcer1g,Pwp2,AL731707.1,Alas2,1500015A07Rik,Itm2a,Zfp219,Rbak,Zfp219,Cyp2d22,Prodh,Klk8,Gm38416,Nrbp2,Gm38416,Adcyap1r1,Fryl,Itgb4,Usp48,Nrde2,Klhl6,Cxcl12,Ccdc82,Ugt8a,Agbl5,Slc36a4,Galnt10,Acyp2,Disp2,Ptn,D3Ertd751e,,,Gm44421,Las1l,Trp53inp2,Nfasc,Slc2a4,Ttr,Sult1e1,,Sult1e1,Cry2,Lrp8os2,Sfxn5
D7Bwg0826e,,,Hpd,Pex6,Lgals1,Lpar1,Gm10076,Prrg1,Plp1,Cyp2d22,Trf,Sult1a1,Ccdc149,Xpnpep2,Hbb-bt,Etnppl,Fuz,Gm37694,Tubgcp6,Ly86,Trappc6b,Nanos2,Fam198a,Emc10,Ovgp1,Emc10,Sparc,Gm6682,Gbp4,Saa1,Cda,Saa1,Dlk1,Nup88,Olig1,Gdf11,Mapk4,Cxcl12,Cyp4f15,Ophn1,Map6d1,Galnt10,Sgtb,Nr5a1,Cyp2d22,Astn2,Tmem258,Sidt2,,,Nrep,Trafd1,Col6a1,1810041L15Rik,Vstm2a,Myo19,Hsd3b6,,Hsd3b6,AC123724.2,Neat1,Ctss
Lztr1,,,3930402G23Rik,Mapkapk2,Ahnak,Apod,Ptgds,Klk6,Slc2a4,Ccdc28b,Fads1,AI987944,Gm11613,Phkg1,Olfml3,Paip2b,Gm23935,S100b,Arhgef10,Serf1,Tspyl2,Prpf38a,Slc7a2,Adgrb1,Scrg1,Adgrb1,Prodh,Aldh6a1,Sox2ot,Mup6,Abcc3,Mup6,Dalrd3,Spaca6,Itm2a,Ovgp1,B630019K06Rik,Tspan17,Tuba4a,Gm28578,Car2,Nr5a1,Acot9,Rrbp1,Tma7,Slc4a8,Pet100,Arhgef10,,,Fam8a1,Morf4l1,Mettl21c,Ano3,Abi1,Pigq,Prlr,,Prlr,Casq1,Ace,Slc14a1
Cyp2a5,,,Mfsd2a,Sdc4,Ehd2,Upp2,Gatsl3,4930506C21Rik,Clic4,Fam107a,Slc22a8,Patj,Pdlim3,Cxcl12,Trem2,Adhfe1,Emc10,AL731707.1,Ell,Gm37529,Spsb3,Etnppl,Serac1,Abhd8,Mgea5,Abhd8,Gm6682,Sh2d6,Cnmd,Fam25c,Mt2,Fam25c,Plekha1,Wnt10b,Eno1b,Sparc,Gm11517,Fads1,Ldha,A230057D06Rik,Robo3,Rrbp1,Cdkl3,Gpr17,Bola3,Neo1,Mrpl36,H2-Ab1,,,Pyurf,Zpr1,Ssc5d,Abca1,mt-Nd6,Gtf2i,Tcn2,,Tcn2,Fbln5,,Gbp4
Glp1r,,,Sparc,B430219N15Rik,Prr32,Nop53,Zfas1,Fbxo32,Cacna1e,Mboat2,Cnmd,Gm16845,Emc8,Hbq1b,Hba-a1,Phyhd1,Dlk2,Ly86,Kif13a,Gm43830,Cyp4f15,Pnpla2,Lrp4,Fam193b,Sult1a1,Fam193b,Aldh6a1,Etnppl,Cdkl2,Adgrv1,Hal,Adgrv1,Mfge8,1700109H08Rik,Phgdh,2900052N01Rik,H2-M6-ps,Gm39653,Ugt8a,Peg3,S100b,Lrrtm4,Rtca,Pla2g6,Ptn,Pdxk,Rgs5,,,,Gstm2,Nploc4,Olfml2b,Bmpr2,Vps26a,Usp13,Dhcr7,,Dhcr7,Prkcg,,
Agrp,,,Adrb3,Rdh16,Col1a1,Serpinb1a,Dcxr,Smyd1,Slco4a1,Peg3,Ndrg1,Emp2,Gm43844,,Prodh,2310015A10Rik,Mypop,Serf1,5330417C22Rik,Gm10221,Ugt8a,Zfp956,Heatr1,Map3k10,Tsn,Map3k10,Sh2d6,Cygb,Cfap61,C9,Sall1,C9,Pltp,Ccdc82,Cnp,Per1,Sult1a1,Lims2,Map6d1,Aldh6a1,Aqp4,Gpr17,Dcst2,Mycbpap,Slc7a5,Mboat7,Arpc3,,,,Trp53inp2,Ing1,Apln,F3,Gm37345,Ptprf,Mt3,,Mt3,Olfml3,,
Foxa1,,,Bcat2,Orm3,Tusc5,Oxct1,Pla2g3,S100b,Hbb-bt,F3,Cxcl12,Sgk1,Prodh,,Alas2,Lrrtm4,Cst3,Gm37529,Brpf3,Cmss1,Olfml3,Gm43844,Slfn5,Abhd1,Gm43844,Abhd1,CT009510.2,Ttyh1,Gpr89,Gm12265,Mgst3,Gm12265,Nt5c3b,Apc,Cdc42ep1,Ifi203,E230001N04Rik,Acvr1c,Car2,Rsph10b,Anxa6,Pla2g6,Epha7,Dlk2,Ace,Slc7a1,Bud31,,,,Tfdp2,Psmd2,Tomm40l,Fuz,Mbnl2,Tsc2,Bpifb5,,Bpifb5,Eln,,
,,,Dhrs11,Mafb,Ttc25,Pkp4,Cbs,Bcas1,Lgi2,Lrrc8a,Col1a1,Ccdc149,Heph,,Evpl,Cyp4f15,Isyna1,Gm43830,Acox3,Rpl28-ps1,1500015A07Rik,Arrdc2,Fam210a,Car11,Trip12,Car11,Etnppl,Ctsf,AC112142.1,Pcp4l1,Cyp2d26,Adgrf1,Wrn,Auts2,Ccnd1,Nrde2,Pcnt,Hbb-bs,9330162G02Rik,Nanos2,Prom1,Mycbpap,Rbm3,Serpinh1,Tmem258,Itih5,Mcts2,,,,Pm20d2,Gps2,Glrx,Slc2a4,Sult1a1,Huwe1,Creb3l1,,Creb3l1,Scd1,,
,,,Pex6,Dusp15,AC169509.2,Lyg1,Rbp4,Jam2,Bcas1,Eva1a,Lcat,2810407A14Rik,2310015A10Rik,,Calm3,Mapk4,Pomc,Gm10221,Clcn7,Gng11,Nanos2,Casq1,Heatr5a,Adgrb2,Akap7,Adgrb2,Cygb,Sord,Gria1,Adgrf1,Cnst,H2-Q1,BC051142,Rasgrf1,Agpat1,Mapk4,Pnpla7,Tomm40l,Robo3,Chchd7,Tspan7,Tomm20,Etnppl,Cracr2a,Pet100,Tmem248,Cox6b1,,,,Col6a1,Mecp2,Mpc2,Oxt,Cadm2,Smarca4,Nat8,,Nat8,Cyp2d22,,
,,,Fabp5,Kctd15,Col3a1,Gbp3,Arl4d,Map6d1,Trf,Icosl,Stk17b,Hbb-bt,Selenbp1,,Pepd,Dock7,Ngef,Cmss1,Cacna2d2,Gm44234,Prpf38a,Slc37a1,Cxcl12,Bcar1,ENSMUSG00000118449,Bcar1,Ttyh1,Il12rb1,Bcs1l,H2-Q1,Vldlr,Fabp1,Smc5,Sparc,Abhd8,B630019K06Rik,Thra,Nrd1,S100b,Vmn2r1,Ighm,Dlk2,Gpd1,Aebp1,Mnt,Zmiz1,Trappc1,,,,Map1lc3b,Gng2,Thy1,Vstm2a,Rab18,Mlec,Hbb-bs,,Hbb-bs,Padi2,,
,,,Hebp2,Asl,Col5a2,Prrg1,Smox,Slain1,Tob2,Pnpla2,Plcxd2,Gm11613,Cpeb1os1,,Heph,Arl4a,Raly,Gm43777,Zfyve27,Gm36988,Sox2ot,Rapgef1,Tjp1,Slc36a4,Heph,Eno1b,Ctsf,Arhgef10,Hbb-bs,Fabp1,Rdh16f2,Fabp2,Cxcl12,Neat1,Igfbp5,Tmem183a,CT030170.3,Trac,1700109H08Rik,Spaca6,Trem2,Serpinh1,Stx12,Greb1,Cnnm3,Ern1,Cox7a2,,,,Mettl21c,Napb,Lgals1,Agbl5,Gm28438,Gpr17,Aldh1a1,,Aldh1a1,Asrgl1,,
,,,Mapkapk2,Cyp2b10,2310069B03Rik,Klk6,Srebf1,Ap3m1,Fads1,Tulp3,Car2,Pdlim3,Casq1,,Eif4b,Appl2,Tspan17,Rpl28-ps1,Trrap,Cst6,Etnppl,Fam213a,Abcc9,Etnppl,Slc7a14,Unkl,Sord,Neat1,AC108802.1,Fabp2,Fmo3,Slc22a28,Itgb4,Gprin1,Tmem119,Cd34,Cry1,Foxb1,Aqp4,A930004J17Rik,Desi1,Cracr2a,Atp11b,Syne2,Sparc,Pom121,Iah1,,,,Ube4a,Adcy2,Loxl2,Abi1,Pxmp2,Dgkk,Cyp17a1,,Cyp17a1,Sfxn5,,
